id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	38	37	1	38	0	0
2	0	376	376	776	392	8	400	0	0
4	0	935	935	1000	29	22	65	14	0
3	0	849	849	1034	132	52	185	1	0
5	0	1554	1554	1604	50	0	50	0	0
6	0	1721	1721	1893	172	0	172	0	0
7	0	1888	1893	1899	6	0	11	5	5
10	0	2036	2094	2104	10	0	68	58	58
9	0	1953	2104	2135	31	0	182	151	151
8	0	1935	1935	2234	244	43	299	12	0
12	0	2427	2427	2510	65	18	83	0	0
13	0	2455	2478	2546	39	16	91	36	23
11	0	2326	2326	2662	187	82	336	67	0
14	0	2521	2546	2734	98	14	213	101	25
16	0	2730	2734	2766	32	0	36	4	4
15	0	2709	2766	2834	68	0	125	57	57
17	0	2861	2861	3101	209	31	240	0	0
19	0	3057	3126	3183	57	0	126	69	69
18	0	3021	3101	3216	58	4	195	133	80
20	0	3227	3227	3351	124	0	124	0	0
0	0	0	0	3351	1311	0	3351	2040	0
